raw_option_name,concept,concept_id,needs_review
UNIT,UNIT,UNI,no
VALKYRIE,VALKYRIE,VAK,yes
VALUE,VALUE,VAL,no
Value,VALUE,VAL,no
VALVE POWER,VALVE_POWER,VAV,yes
VARIANT,VARIANT,VAR,no
Variant,VARIANT,VAR,no
VARIANTE:,VARIANT,VAR,no
VERSION,VARIANT,VAR,no
Version,VARIANT,VAR,no
VERSIONS,VARIANT,VAR,no
VOLTAGE,VOLTAGE,VLT,no
VOLUME,VOLUME,VOL,no
WEAVER RINGS,WEAVER_RINGS,WEA,yes
WEIGHT,WEIGHT,WGT,no
WITH ADAPTER?,ADDON,ADD,no
WITH ADAPTOR?,ADDON,ADD,no
WITH BARREL ADAPTER?,ADDON,ADD,no
WITH BOTTLE PLUG,ADDON,ADD,no
WITH BOTTLE PLUG AND HOSE:,ADDON,ADD,no
WITH BOTTLE?,ADDON,ADD,no
WITH BUTT,ADDON,ADD,no
WITH BUTTPAD?,ADDON,ADD,no
WITH CARBON FIBER BOTTLE?,ADDON,ADD,no
WITH CROWN?,ADDON,ADD,no
With extension KIT?,ADDON,ADD,no
WITH FIRST MODULE OF REFLEX SUPPRESSOR?,ADDON,ADD,no
WITH GAUGE?,ADDON,ADD,no
WITH HOSE,ADDON,ADD,no
WITH HOSE AND BOTTLE PLUG,ADDON,ADD,no
WITH HOUSING?,ADDON,ADD,no
WITH KIT:,ADDON,ADD,no
WITH MAGAZINE:,ADDON,ADD,no
WITH PIN LOCK?,ADDON,ADD,no
WITH REGULATOR INSTALLED?,ADDON,ADD,no
WITH SCOPE?,ADDON,ADD,no
WITH SCREWS AND SPRING?,ADDON,ADD,no
WITH SHROUD EXTENSION?,ADDON,ADD,no
WITH SPARE O-RINGS,ADDON,ADD,no
WITH SUPPRESSOR?,ADDON,ADD,no
WITH TOOL?,ADDON,ADD,no
WITH TRI-LUG PLUG ADAPTOR,ADDON,ADD,no
WITH VALVE?,ADDON,ADD,no
Mounts,MOUNT,MNT,no
Reticle,RETICLE,RET,no
